date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2022-08-10,23151.32,24226.0,22664.69,23954.05,208916.54953,4918825599.489632,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11,23954.05,24918.54,23852.13,23934.39,249759.79557,6097813762.895935,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12,23933.09,24456.5,23583.0,24403.68,174207.5704,4175834601.8605466,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,24401.7,24888.0,24291.22,24441.38,152852.25435,3751417148.252107,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-14,24443.06,25047.56,24144.0,24305.24,151206.14473,3708565144.898009,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-15,24305.25,25211.32,23773.22,24094.82,242539.54758,5894066098.523285,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-16,24093.04,24247.49,23671.22,23854.74,179324.94821,4294907691.6509495,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-17,23856.15,24446.71,23180.4,23342.66,210668.68766,4993659434.236888,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-18,23342.66,23600.0,23111.04,23191.2,144185.97011,3375338942.2617874,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19,23191.45,23208.67,20783.57,20834.39,283995.87747,6181759252.730264,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,20834.39,21382.85,20761.9,21140.07,183041.68363,3871242921.22468,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-21,21140.07,21800.0,21069.11,21515.61,159200.6841,3405034922.807078,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-22,21516.7,21548.71,20890.18,21399.83,222222.04526,4721412016.903412,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,21400.75,21684.87,20890.14,21529.12,200967.77164,4299812533.944709,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24,21529.11,21900.0,21145.0,21368.08,174383.22046,3744196823.564854,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-25,21368.05,21819.88,21310.15,21559.04,169915.78301,3672148286.6013737,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-26,21559.04,21886.77,20107.9,20241.05,273811.61955,5785149465.09769,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-27,20239.14,20402.93,19800.0,20037.6,162582.46032,3269764074.35644,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28,20037.6,20171.18,19520.0,19555.61,139307.95976,2781133881.051846,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-29,19555.61,20433.62,19550.79,20285.73,210509.49545,4211334408.9865937,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-30,20287.2,20576.25,19540.0,19811.66,256634.35529,5157974826.609323,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,19813.03,20490.0,19797.94,20050.02,276946.60765,5595829094.391042,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,20048.44,20208.37,19565.66,20131.46,245289.97263,4893158531.781241,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-02,20132.64,20441.26,19755.29,19951.86,245986.6033,4946889819.514836,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-03,19950.98,20055.93,19652.72,19831.9,146639.03204,2908816275.0102863,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-04,19832.45,20029.23,19583.1,20000.3,145588.77893,2883227667.1961923,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-05,20000.3,20057.27,19633.83,19796.84,222543.01057,4404971191.907026,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06,19795.34,20180.0,18649.51,18790.61,356315.05718,6976809188.41019,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-07,18790.61,19464.06,18510.77,19292.84,287394.7788,5436827909.201311,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08,19292.85,19458.25,19012.0,19319.77,262813.28273,5057217166.675082,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-09,19320.54,21597.22,19291.75,21360.11,428919.74652,8929831332.708796,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-10,21361.62,21810.8,21111.13,21648.34,307997.33504,6589753118.841131,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-11,21647.21,21860.0,21350.0,21826.87,280702.55149,6064643642.71623,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-12,21826.87,22488.0,21538.51,22395.74,395395.61828,8743762682.841719,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13,22395.44,22799.0,19860.0,20173.57,431915.03333,9302239274.39612,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-14,20173.62,20541.48,19617.62,20226.71,340826.40151,6886235196.646198,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,20227.17,20330.24,19497.0,19701.88,333069.76076,6655264974.213759,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-16,19701.88,19890.0,19320.01,19803.3,283791.07064,5584012914.113887,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17,19803.3,20189.0,19748.08,20113.62,179350.24338,3578667842.695283,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-18,20112.61,20117.26,19335.62,19416.18,254217.46904,5033968947.530573,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19,19417.45,19686.2,18232.56,19537.02,380512.40306,7215196795.656052,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-20,19537.02,19634.62,18711.87,18875.0,324098.3286,6206043205.412278,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-21,18874.31,19956.0,18125.98,18461.36,385034.10021,7338667639.751957,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-22,18461.36,19550.17,18356.39,19401.63,379321.72111,7203741481.483637,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23,19401.63,19500.0,18531.42,19289.91,385886.91829,7330336009.190998,,,,,,,,,,,,,,,,,,,,,,,,,
